100	0	0	0	0	1	0	0	1
200	0	0	0	0	1	0	0	1
300	0	0	0	0	1	0	0	1
400	0	0	0	0	1	0	0	1
500	0	0	0	0	1	0	0	1
600	0	0	0	0	1	0	0	1
700	0	0	0	0	1	0	0	1
800	0	0	0	0	1	0	0	1
900	0	0	0	0	1	0	0	1
1000	0	0	0	0	1	0	0	1
1100	0	0	0	0	1	0	0	1
1200	0	0	0	0	1	0	0	1
1300	0	0	0	0	1	0	0	1
100	30.786	32.2705	0.0005131	1.15104e-05	0.917233	0	14	0.001
200	30.94	30.8252	0.000515667	1.31338e-05	0.919933	0	14	0.002
300	30.231	29.365	0.00050385	1.32272e-05	0.9226	0	15	0.001
400	30.783	31.3152	0.00051305	1.38241e-05	0.9204	0	13	0.001
500	31.833	31.5286	0.00053055	1.34398e-05	0.919367	0	16	0.001
600	30.214	31.0613	0.000503567	1.33634e-05	0.927833	0	15	0.003
100	1.915	1.83761	3.19167e-05	8.45168e-07	0.995233	0	0	0.133
200	5.739	5.4183	9.565e-05	4.58146e-06	0.986833	0	0	0.004
300	9.884	10.5531	0.000164733	5.44506e-06	0.976267	0	2	0.004
400	17.86	16.9333	0.000297667	1.06529e-05	0.957367	0	7	0.002
500	24.082	25.0363	0.000401367	1.42389e-05	0.941367	0	11	0.001
600	28.036	26.0247	0.000467267	1.54532e-05	0.930033	0	13	0.001
700	27.809	28.6211	0.000463483	1.22823e-05	0.927467	0	12	0.002
800	27.98	27.8154	0.000466333	1.19295e-05	0.928133	0	10	0.001
900	29.423	30.1102	0.000490383	1.38333e-05	0.9252	0	14	0.001
1000	31.703	30.2711	0.000528383	1.26017e-05	0.916933	0	16	0.001
1100	29.067	27.6962	0.00048445	1.18883e-05	0.925267	0	13	0.001
1200	30.357	30.2298	0.00050595	1.17354e-05	0.9233	0	14	0.001
1300	29.38	29.9996	0.000489667	1.21324e-05	0.925667	0	15	0.002
1400	28.599	29.9582	0.00047665	1.21797e-05	0.926967	0	14	0.001
1500	29.281	29.3234	0.000488017	1.34173e-05	0.926967	0	15	0.003
100	3.087	3.44488	5.145e-05	1.48964e-06	0.992633	0	0	0.044
